id_pelanggan,gender,status_member,level_loyalitas,kota,kategori_produk,usia,lama_member_bln,jumlah_transaksi,total_klik,rata_rating,total_belanja
CUST0024,Perempuan,Non-Member,Silver,Yogyakarta,Otomotif,57.0,26.0,82.0,336.0,4.9,26596.26
CUST0025,Laki-laki,Member,Bronze,Bekasi,Fashion,,53.0,111.0,425.0,4.6,35176.99
CUST0026,Laki-laki,Non-Member,Silver,Tangerang,Travel,52.0,3.0,17.0,70.0,4.6,5588.62
CUST0027,Laki-laki,Member,Bronze,Batam,Buku,34.0,75.0,81.0,320.0,2.7,27267.1
CUST0028,Laki-laki,Member,Silver,Makassar,Kecantikan,24.0,17.0,77.0,306.0,,27610.49
CUST0029,Laki-laki,Member,Gold,Palembang,Travel,44.0,29.0,111.0,436.0,5.0,49981.88
CUST0030,Laki-laki,Member,Bronze,Pekanbaru,Mainan Anak,46.0,63.0,20.0,83.0,4.0,9473.54
CUST0031,Perempuan,Non-Member,Platinum,Bogor,Fashion,28.0,59.0,85.0,333.0,2.7,45537.36
CUST0032,Perempuan,Member,Platinum,Makassar,Olahraga,50.0,42.0,5.0,21.0,3.8,5894.02
CUST0033,Perempuan,Non-Member,Platinum,Yogyakarta,Elektronik,51.0,16.0,103.0,430.0,,53045.3
CUST0034,Perempuan,Non-Member,Gold,Batam,Otomotif,18.0,27.0,104.0,404.0,4.6,40152.2
CUST0035,Laki-laki,Non-Member,Bronze,Makassar,Mainan Anak,52.0,34.0,94.0,383.0,4.1,25959.85
CUST0036,Perempuan,Member,Bronze,Bekasi,Perabot Rumah,44.0,37.0,61.0,248.0,4.8,19486.59
CUST0037,Perempuan,Non-Member,Bronze,Palembang,Kecantikan,34.0,60.0,54.0,207.0,4.3,16922.89
CUST0038,Laki-laki,Non-Member,Gold,Medan,Travel,57.0,67.0,83.0,337.0,3.4,34849.16
CUST0039,Perempuan,Member,Bronze,Jakarta,Makanan,56.0,81.0,112.0,465.0,3.9,37652.01
CUST0040,Laki-laki,Member,Platinum,Depok,Elektronik,40.0,21.0,68.0,285.0,4.5,40939.14
CUST0041,Laki-laki,Member,Silver,Yogyakarta,Olahraga,30.0,61.0,45.0,173.0,2.7,18794.91
CUST0042,Laki-laki,Non-Member,Gold,Jakarta,Elektronik,28.0,13.0,78.0,297.0,3.0,30438.47
CUST0043,Perempuan,Non-Member,Silver,Yogyakarta,Elektronik,42.0,24.0,18.0,70.0,3.9,7396.3
CUST0044,Laki-laki,Non-Member,Silver,Yogyakarta,Gaming,18.0,50.0,65.0,260.0,3.9,21869.23
CUST0045,Perempuan,Non-Member,Silver,Surabaya,Kesehatan,31.0,31.0,82.0,329.0,2.5,26861.03
CUST0046,Perempuan,Non-Member,Platinum,Medan,Perabot Rumah,,23.0,50.0,206.0,2.6,26584.63
CUST0047,Laki-laki,Member,Bronze,Malang,Travel,52.0,65.0,84.0,334.0,4.6,27640.28
CUST0048,Perempuan,Member,Platinum,Palembang,Buku,28.0,1.0,99.0,407.0,4.6,57232.92
CUST0049,Perempuan,Member,Gold,Jakarta,Travel,57.0,68.0,110.0,442.0,3.5,51965.04
CUST0050,Perempuan,Member,Bronze,Malang,Otomotif,33.0,81.0,21.0,81.0,2.5,10351.51
CUST0051,Perempuan,Non-Member,Silver,Makassar,Gaming,38.0,16.0,54.0,206.0,3.2,17462.98
CUST0052,Perempuan,Member,Silver,Bekasi,Kecantikan,22.0,55.0,17.0,71.0,4.8,9141.7
CUST0053,Laki-laki,Non-Member,Bronze,Tangerang,Elektronik,19.0,75.0,35.0,147.0,4.2,12477.56
CUST0054,Laki-laki,Non-Member,Platinum,Semarang,Kesehatan,53.0,63.0,62.0,240.0,3.7,34562.89
CUST0055,Laki-laki,Member,Silver,Malang,Perabot Rumah,32.0,30.0,72.0,289.0,3.7,27321.42
CUST0056,Perempuan,Member,Bronze,Jakarta,Kesehatan,50.0,25.0,26.0,104.0,2.8,8999.53
CUST0057,Perempuan,Member,Silver,Palembang,Elektronik,26.0,47.0,55.0,218.0,2.9,21637.87
CUST0058,Laki-laki,Non-Member,Silver,Tangerang,Perabot Rumah,38.0,59.0,80.0,317.0,3.6,27782.76
CUST0059,Laki-laki,Non-Member,Bronze,Semarang,Makanan,34.0,76.0,51.0,205.0,4.4,16876.69
CUST0060,Laki-laki,Member,Bronze,Palembang,Makanan,22.0,39.0,108.0,418.0,3.2,33256.86
CUST0061,Perempuan,Non-Member,Bronze,Bekasi,Buku,39.0,13.0,34.0,130.0,2.8,9515.27
CUST0062,Perempuan,Member,Gold,Semarang,Mainan Anak,18.0,,46.0,179.0,4.2,21369.79
CUST0063,Perempuan,Member,Platinum,Makassar,Travel,48.0,57.0,63.0,260.0,4.8,39742.49
CUST0064,Laki-laki,Non-Member,Gold,Jakarta,Elektronik,50.0,21.0,104.0,435.0,3.5,40345.63
CUST0065,Perempuan,Member,Bronze,Makassar,Olahraga,58.0,83.0,116.0,461.0,3.5,38278.24
CUST0066,Laki-laki,Member,Gold,Medan,Buku,55.0,82.0,65.0,254.0,4.2,32730.11
CUST0067,Perempuan,Member,Silver,Tangerang,Buku,48.0,82.0,48.0,183.0,4.7,21043.94
CUST0068,Perempuan,Member,Bronze,Bekasi,Perabot Rumah,59.0,42.0,94.0,393.0,4.9,29686.43
CUST0069,Perempuan,Non-Member,Platinum,Bekasi,Fashion,42.0,1.0,24.0,95.0,3.2,12888.88
CUST0070,Perempuan,Member,Bronze,Depok,Gaming,34.0,0.0,41.0,170.0,4.9,12606.08
CUST0071,Perempuan,Member,Silver,Jakarta,Mainan Anak,43.0,11.0,15.0,59.0,4.1,6689.16
CUST0072,Perempuan,Member,Bronze,Semarang,Makanan,44.0,3.0,69.0,278.0,3.3,20498.33
CUST0073,Perempuan,Non-Member,Bronze,Pekanbaru,Kesehatan,52.0,69.0,28.0,108.0,4.5,10277.1
CUST0074,Laki-laki,Member,Platinum,Makassar,Travel,27.0,21.0,118.0,493.0,3.2,69120.26
CUST0075,Perempuan,Member,Gold,Jakarta,Kecantikan,30.0,15.0,22.0,88.0,2.6,10814.21
CUST0076,Laki-laki,Non-Member,Silver,Malang,Gaming,58.0,82.0,118.0,460.0,3.2,40037.83
CUST0077,Perempuan,Member,Bronze,Bekasi,Olahraga,18.0,68.0,64.0,260.0,4.8,21816.65
CUST0078,Laki-laki,Member,Bronze,Makassar,Gaming,,30.0,25.0,98.0,2.9,8921.37
CUST0079,Laki-laki,Member,Bronze,Makassar,Travel,27.0,24.0,96.0,388.0,3.2,29430.03
CUST0080,Perempuan,Member,Gold,Semarang,Makanan,56.0,70.0,92.0,350.0,3.3,43618.04
CUST0081,Laki-laki,Member,Bronze,Makassar,Fashion,,74.0,1.0,4.0,4.3,4157.8
CUST0082,Perempuan,Non-Member,Platinum,Palembang,Gaming,32.0,78.0,115.0,461.0,3.4,62162.9
CUST0083,Laki-laki,Member,Silver,Malang,Kecantikan,18.0,21.0,85.0,332.0,3.9,31370.82
CUST0084,Perempuan,Non-Member,Silver,Tangerang,Perabot Rumah,22.0,60.0,8.0,31.0,4.2,5397.46
CUST0085,Laki-laki,Non-Member,Bronze,Malang,Mainan Anak,40.0,64.0,110.0,432.0,4.5,30905.16
CUST0086,Perempuan,Non-Member,Gold,Pekanbaru,Buku,21.0,25.0,52.0,211.0,3.0,21280.8
CUST0087,Perempuan,Non-Member,Silver,Surabaya,Mainan Anak,26.0,47.0,91.0,373.0,3.5,29494.43
CUST0088,Perempuan,Non-Member,Silver,Bekasi,Mainan Anak,33.0,11.0,44.0,169.0,4.6,13568.53
CUST0089,Perempuan,Non-Member,Silver,Bogor,Perabot Rumah,30.0,28.0,86.0,339.0,4.9,27218.66
CUST0090,Laki-laki,Member,Gold,Jakarta,Travel,51.0,43.0,54.0,205.0,3.0,26107.9
CUST0091,Laki-laki,Member,Gold,Makassar,Mainan Anak,29.0,27.0,14.0,55.0,2.6,7892.53
CUST0092,Laki-laki,Member,Platinum,Pekanbaru,Buku,55.0,10.0,1.0,4.0,2.7,1435.52
CUST0093,Perempuan,Member,Bronze,Semarang,Kecantikan,46.0,46.0,5.0,21.0,4.8,3621.44
CUST0094,Laki-laki,Non-Member,Gold,Pekanbaru,Gaming,38.0,13.0,57.0,225.0,3.8,22550.23
CUST0095,Laki-laki,Member,Silver,Semarang,Gaming,31.0,0.0,68.0,275.0,3.7,23655.21
CUST0096,Perempuan,Non-Member,Bronze,Makassar,Buku,39.0,70.0,62.0,246.0,4.9,19553.25
CUST0097,Laki-laki,Member,Bronze,Makassar,Fashion,28.0,18.0,97.0,395.0,3.7,29259.35
CUST0098,Perempuan,Non-Member,Silver,Malang,Fashion,,74.0,91.0,360.0,4.6,30497.97
CUST0099,Laki-laki,Non-Member,Silver,Tangerang,Otomotif,45.0,,46.0,180.0,4.1,17138.49
CUST0100,Laki-laki,Non-Member,Platinum,Jakarta,Makanan,54.0,57.0,87.0,352.0,3.7,47167.63
CUST0101,Laki-laki,Member,Bronze,Tangerang,Fashion,39.0,72.0,24.0,95.0,4.8,11161.31
CUST0102,Perempuan,Non-Member,Gold,Medan,Kecantikan,51.0,63.0,94.0,393.0,4.3,39029.74
CUST0103,Laki-laki,Non-Member,Silver,Bogor,Otomotif,31.0,43.0,76.0,312.0,4.2,24898.68
CUST0104,Perempuan,Member,Bronze,Bekasi,Elektronik,38.0,2.0,63.0,252.0,3.8,18645.96
CUST0105,Perempuan,Member,Silver,Medan,Travel,41.0,29.0,73.0,290.0,4.2,27104.51
CUST0106,Perempuan,Non-Member,Bronze,Batam,Gaming,26.0,43.0,86.0,332.0,3.1,23346.13
CUST0107,Perempuan,Member,Bronze,Bekasi,Elektronik,39.0,17.0,13.0,53.0,3.1,4741.57
CUST0108,Perempuan,Member,Gold,Bandung,Fashion,50.0,49.0,75.0,305.0,4.0,35225.41
CUST0109,Perempuan,Member,Platinum,Semarang,Travel,27.0,20.0,42.0,162.0,3.5,25493.84
CUST0110,Laki-laki,Member,Gold,Bogor,Buku,42.0,74.0,65.0,264.0,2.6,31744.96
CUST0111,Laki-laki,Member,Gold,Medan,Otomotif,28.0,46.0,118.0,474.0,2.8,53754.5
CUST0112,Perempuan,Non-Member,Silver,Bekasi,Buku,27.0,75.0,26.0,109.0,3.2,11340.47
CUST0113,Perempuan,Member,Gold,Makassar,Perabot Rumah,32.0,59.0,102.0,389.0,4.0,47533.97
CUST0114,Perempuan,Member,Silver,Bogor,Elektronik,20.0,77.0,48.0,187.0,3.7,20526.99
CUST0115,Perempuan,Member,Bronze,Malang,Gaming,45.0,51.0,104.0,399.0,2.5,33397.95
CUST0116,Laki-laki,Non-Member,Gold,Yogyakarta,Kesehatan,21.0,32.0,70.0,293.0,3.6,28135.54
CUST0117,Perempuan,Non-Member,Silver,Malang,Mainan Anak,41.0,44.0,84.0,322.0,2.7,27642.5
CUST0118,Perempuan,Member,Gold,Makassar,Elektronik,55.0,31.0,18.0,69.0,4.6,9952.4
CUST0119,Laki-laki,Member,Bronze,Tangerang,Perabot Rumah,,12.0,113.0,472.0,3.2,33595.23
CUST0120,Perempuan,Non-Member,Bronze,Bandung,Elektronik,27.0,55.0,104.0,397.0,3.5,28608.7
CUST0121,Laki-laki,Non-Member,Silver,Depok,Makanan,18.0,50.0,1.0,4.0,4.2,3275.35
CUST0122,Laki-laki,Member,Bronze,Semarang,Kesehatan,40.0,32.0,58.0,222.0,4.5,18429.86
CUST0123,Perempuan,Member,Gold,Bogor,Buku,22.0,44.0,68.0,285.0,3.3,31764.01
CUST0124,Perempuan,Non-Member,Silver,Bandung,Fashion,27.0,15.0,25.0,97.0,2.8,8672.69
CUST0125,Laki-laki,Member,Platinum,Pekanbaru,Makanan,36.0,41.0,118.0,467.0,3.4,70553.42
CUST0126,Laki-laki,Non-Member,Bronze,Bandung,Buku,31.0,34.0,20.0,81.0,,6883.02
CUST0127,Perempuan,Member,Silver,Yogyakarta,Olahraga,43.0,22.0,102.0,426.0,3.3,36236.4
CUST0128,Perempuan,Member,Bronze,Tangerang,Travel,35.0,44.0,86.0,347.0,2.5,27270.55
CUST0129,Perempuan,Member,Platinum,Palembang,Travel,49.0,49.0,13.0,51.0,4.1,10576.74
CUST0130,Perempuan,Non-Member,Gold,Medan,Travel,29.0,67.0,110.0,427.0,3.2,179340.0
CUST0131,Laki-laki,Non-Member,Silver,Bogor,Fashion,20.0,22.0,89.0,368.0,4.8,27956.7
CUST0132,Perempuan,Member,Bronze,Palembang,Elektronik,51.0,18.0,39.0,160.0,4.8,12784.94
CUST0133,Perempuan,Member,Bronze,Makassar,Mainan Anak,56.0,74.0,50.0,197.0,3.8,19009.76
CUST0134,Laki-laki,Member,Bronze,Medan,Elektronik,19.0,,21.0,84.0,3.1,8170.18
CUST0135,Perempuan,Non-Member,Bronze,Tangerang,Buku,27.0,45.0,100.0,404.0,3.4,27551.18
CUST0136,Perempuan,Member,Silver,Bekasi,Elektronik,57.0,83.0,46.0,184.0,3.6,21267.24
CUST0137,Laki-laki,Member,Gold,Tangerang,Elektronik,58.0,76.0,39.0,161.0,4.4,21536.67
CUST0138,Perempuan,Member,Silver,Pekanbaru,Elektronik,21.0,47.0,101.0,391.0,4.3,36851.87
CUST0139,Perempuan,Member,Bronze,Jakarta,Buku,29.0,22.0,17.0,69.0,3.6,6150.7
CUST0140,Perempuan,Member,Silver,Bandung,Gaming,32.0,36.0,12.0,46.0,4.4,5868.97
CUST0141,Perempuan,Member,Gold,Malang,Perabot Rumah,53.0,11.0,16.0,63.0,4.2,8354.67
CUST0142,Perempuan,Non-Member,Gold,Pekanbaru,Kecantikan,39.0,67.0,15.0,62.0,2.8,9460.48
CUST0143,Perempuan,Non-Member,Bronze,Depok,Kecantikan,54.0,14.0,14.0,59.0,4.4,4639.13
CUST0144,Perempuan,Member,Bronze,Makassar,Kesehatan,48.0,72.0,18.0,75.0,3.8,9362.62
CUST0145,Laki-laki,Member,Silver,Surabaya,Fashion,,13.0,85.0,352.0,,30319.01
CUST0146,Laki-laki,Member,Silver,Bandung,Elektronik,35.0,75.0,73.0,295.0,4.0,29332.33
CUST0147,Laki-laki,Non-Member,Bronze,Palembang,Mainan Anak,31.0,37.0,40.0,157.0,4.3,12317.71
CUST0148,Laki-laki,Non-Member,Bronze,Bekasi,Buku,31.0,66.0,69.0,272.0,4.3,20727.15
CUST0149,Laki-laki,Member,Bronze,Bogor,Perabot Rumah,20.0,39.0,12.0,50.0,5.0,5211.23
CUST0150,Perempuan,Non-Member,Gold,Yogyakarta,Olahraga,50.0,11.0,96.0,396.0,3.7,37068.82
CUST0151,Laki-laki,Member,Bronze,Yogyakarta,Fashion,22.0,66.0,78.0,299.0,4.0,25993.91
CUST0152,Laki-laki,Non-Member,Silver,Jakarta,Otomotif,40.0,67.0,102.0,406.0,4.0,34804.57
CUST0153,Laki-laki,Member,Silver,Malang,Otomotif,29.0,82.0,95.0,393.0,4.8,37078.01
CUST0154,Perempuan,Member,Gold,Malang,Otomotif,,66.0,19.0,73.0,2.8,11829.79
CUST0155,Laki-laki,Non-Member,Silver,Surabaya,Fashion,39.0,32.0,39.0,159.0,4.0,14311.1
CUST0156,Laki-laki,Non-Member,Gold,Bandung,Kecantikan,53.0,43.0,4.0,16.0,3.6,4020.54
CUST0157,Perempuan,Member,Bronze,Batam,Gaming,33.0,53.0,113.0,458.0,2.6,35819.77
CUST0158,Laki-laki,Non-Member,Gold,Bandung,Olahraga,25.0,10.0,33.0,130.0,,13037.56
CUST0159,Laki-laki,Member,Silver,Tangerang,Buku,30.0,57.0,113.0,447.0,4.7,41891.89
CUST0160,Laki-laki,Non-Member,Bronze,Batam,Fashion,25.0,71.0,34.0,136.0,4.9,12534.16
CUST0161,Laki-laki,Member,Gold,Batam,Kesehatan,35.0,3.0,72.0,284.0,3.5,31655.21
CUST0162,Perempuan,Member,Bronze,Depok,Elektronik,23.0,44.0,49.0,194.0,4.7,16434.45
CUST0163,Perempuan,Non-Member,Bronze,Surabaya,Makanan,32.0,19.0,38.0,148.0,4.4,10864.08
CUST0164,Perempuan,Member,Silver,Batam,Mainan Anak,43.0,14.0,119.0,469.0,2.8,42742.13
CUST0165,Laki-laki,Member,Bronze,Pekanbaru,Mainan Anak,28.0,60.0,117.0,451.0,4.4,37359.87
CUST0166,Perempuan,Member,Silver,Palembang,Kecantikan,47.0,74.0,65.0,267.0,3.7,26700.76
CUST0167,Perempuan,Non-Member,Bronze,Pekanbaru,Otomotif,50.0,1.0,69.0,263.0,4.5,17631.76
CUST0168,Laki-laki,Member,Bronze,Medan,Olahraga,53.0,38.0,57.0,221.0,3.7,18744.97
CUST0169,Laki-laki,Member,Platinum,Tangerang,Travel,38.0,64.0,79.0,313.0,3.3,48980.51
CUST0170,Perempuan,Member,Gold,Malang,Buku,30.0,73.0,110.0,425.0,3.9,51455.62
CUST0171,Laki-laki,Member,Bronze,Bekasi,Travel,27.0,1.0,98.0,396.0,3.4,28808.78
CUST0172,Perempuan,Non-Member,Bronze,Bandung,Makanan,35.0,15.0,53.0,215.0,3.8,14747.55
CUST0173,Laki-laki,Member,Silver,Semarang,Perabot Rumah,27.0,35.0,6.0,23.0,4.8,4313.65
CUST0174,Laki-laki,Member,Bronze,Tangerang,Makanan,36.0,82.0,47.0,181.0,,17833.16
CUST0175,Laki-laki,Member,Bronze,Palembang,Travel,47.0,74.0,104.0,422.0,,33914.41
CUST0176,Perempuan,Non-Member,Gold,Semarang,Travel,37.0,62.0,100.0,392.0,4.8,40161.94
CUST0177,Laki-laki,Member,Silver,Bekasi,Travel,42.0,72.0,59.0,229.0,4.3,24153.75
CUST0178,Laki-laki,Member,Silver,Bekasi,Fashion,36.0,19.0,56.0,226.0,4.7,21079.75
CUST0179,Laki-laki,Member,Bronze,Bandung,Perabot Rumah,31.0,17.0,92.0,375.0,3.7,28161.29
CUST0180,Laki-laki,Member,Bronze,Batam,Fashion,48.0,12.0,100.0,398.0,4.6,30302.53
CUST0181,Laki-laki,Member,Bronze,Depok,Olahraga,39.0,16.0,60.0,245.0,3.1,18613.82
CUST0182,Perempuan,Member,Silver,Palembang,Elektronik,31.0,59.0,71.0,283.0,4.5,27757.76
CUST0183,Perempuan,Member,Silver,Makassar,Buku,37.0,50.0,43.0,167.0,,17584.94
CUST0184,Perempuan,Non-Member,Gold,Depok,Travel,,76.0,74.0,293.0,5.0,32101.31
CUST0185,Laki-laki,Member,Bronze,Bekasi,Perabot Rumah,31.0,47.0,49.0,189.0,4.7,16706.74
CUST0186,Laki-laki,Member,Gold,Malang,Buku,35.0,75.0,20.0,78.0,3.3,12860.09
CUST0187,Perempuan,Member,Platinum,Bekasi,Olahraga,54.0,27.0,1.0,4.0,3.5,2444.12
CUST0188,Laki-laki,Member,Bronze,Bekasi,Mainan Anak,25.0,43.0,106.0,430.0,,32717.49
CUST0189,Perempuan,Non-Member,Silver,Malang,Kesehatan,27.0,54.0,27.0,105.0,2.6,10621.02
CUST0190,Perempuan,Member,Silver,Jakarta,Makanan,,16.0,101.0,420.0,4.3,36357.53
CUST0191,Perempuan,Non-Member,Gold,Bogor,Elektronik,33.0,39.0,43.0,180.0,3.2,18660.81
CUST0192,Laki-laki,Member,Bronze,Bandung,Kecantikan,42.0,58.0,112.0,445.0,4.2,35843.32
CUST0193,Perempuan,Member,Bronze,Yogyakarta,Olahraga,18.0,77.0,67.0,281.0,2.6,23491.25
CUST0194,Laki-laki,Member,Gold,Yogyakarta,Kesehatan,55.0,72.0,80.0,321.0,3.1,38239.62
CUST0195,Laki-laki,Member,Silver,Medan,Fashion,59.0,71.0,9.0,37.0,3.7,7283.97
CUST0196,Laki-laki,Non-Member,Gold,Tangerang,Olahraga,42.0,71.0,13.0,52.0,2.8,8717.5
CUST0197,Laki-laki,Member,Bronze,Depok,Perabot Rumah,20.0,61.0,63.0,259.0,3.8,21758.49
CUST0198,Perempuan,Member,Bronze,Bekasi,Buku,20.0,22.0,61.0,253.0,3.8,19222.45
CUST0199,Perempuan,Member,Bronze,Jakarta,Perabot Rumah,27.0,23.0,22.0,85.0,,7909.33
CUST0200,Laki-laki,Non-Member,Silver,Semarang,Kecantikan,48.0,71.0,93.0,387.0,3.1,31663.01
CUST0201,Laki-laki,Non-Member,Bronze,Surabaya,Mainan Anak,30.0,75.0,76.0,300.0,4.3,23029.21
CUST0202,Laki-laki,Non-Member,Silver,Depok,Elektronik,19.0,38.0,44.0,185.0,3.2,15685.16
CUST0203,Perempuan,Member,Bronze,Palembang,Otomotif,31.0,13.0,51.0,211.0,2.7,15700.65
CUST0204,Perempuan,Member,Platinum,Makassar,Elektronik,57.0,80.0,44.0,169.0,,29552.05
CUST0205,Perempuan,Non-Member,Bronze,Depok,Fashion,39.0,66.0,11.0,44.0,3.6,6238.32
CUST0206,Perempuan,Member,Gold,Surabaya,Otomotif,43.0,64.0,109.0,440.0,,51382.7
CUST0207,Perempuan,Member,Bronze,Yogyakarta,Buku,33.0,4.0,82.0,324.0,4.3,24186.89
CUST0208,Laki-laki,Non-Member,Platinum,Bogor,Olahraga,44.0,,71.0,274.0,3.8,39652.58
CUST0209,Laki-laki,Member,Bronze,Bogor,Elektronik,44.0,11.0,117.0,470.0,4.2,35428.07
CUST0210,Laki-laki,Member,Gold,Bogor,Mainan Anak,24.0,26.0,73.0,301.0,4.4,33221.01
CUST0211,Perempuan,Non-Member,Silver,Makassar,Gaming,49.0,53.0,52.0,201.0,4.6,18662.61
CUST0212,Laki-laki,Member,Gold,Pekanbaru,Mainan Anak,44.0,34.0,64.0,252.0,3.5,29947.44
CUST0213,Laki-laki,Member,Platinum,Jakarta,Fashion,36.0,9.0,92.0,371.0,3.0,53749.91
CUST0214,Perempuan,Member,Gold,Surabaya,Mainan Anak,28.0,54.0,39.0,154.0,,20076.21
CUST0215,Perempuan,Member,Silver,Medan,Otomotif,22.0,25.0,60.0,249.0,4.0,21760.75
CUST0216,Laki-laki,Non-Member,Silver,Medan,Fashion,28.0,6.0,34.0,133.0,4.6,10761.56
CUST0217,Perempuan,Member,Gold,Surabaya,Makanan,57.0,48.0,65.0,250.0,3.9,30596.18
CUST0218,Perempuan,Member,Platinum,Tangerang,Makanan,51.0,43.0,61.0,245.0,4.0,37180.34
CUST0219,Perempuan,Non-Member,Silver,Batam,Buku,31.0,11.0,47.0,179.0,3.2,14729.96
CUST0220,Perempuan,Non-Member,Bronze,Bogor,Elektronik,37.0,83.0,91.0,382.0,4.5,26852.28
CUST0221,Perempuan,Member,Silver,Malang,Makanan,51.0,80.0,94.0,383.0,3.1,37116.9
CUST0222,Laki-laki,Member,Silver,Bandung,Buku,55.0,,104.0,431.0,4.8,40195.26
CUST0223,Perempuan,Member,Bronze,Yogyakarta,Elektronik,57.0,35.0,4.0,16.0,3.9,3751.77
CUST0224,Perempuan,Member,Gold,Yogyakarta,Buku,51.0,7.0,101.0,409.0,2.8,44156.23
CUST0225,Laki-laki,Member,Bronze,Yogyakarta,Fashion,19.0,43.0,77.0,294.0,4.2,24482.88
CUST0226,Laki-laki,Non-Member,Silver,Bogor,Olahraga,21.0,53.0,93.0,383.0,3.1,30812.67
CUST0227,Perempuan,Non-Member,Bronze,Bandung,Kecantikan,48.0,57.0,110.0,427.0,2.6,31085.94
CUST0228,Laki-laki,Non-Member,Platinum,Jakarta,Perabot Rumah,51.0,7.0,38.0,159.0,3.7,121763.0
CUST0229,Laki-laki,Non-Member,Gold,Depok,Kesehatan,42.0,48.0,103.0,431.0,3.7,42100.94
CUST0230,Laki-laki,Member,Bronze,Makassar,Kesehatan,49.0,59.0,105.0,404.0,3.5,33590.47
CUST0231,Perempuan,Member,Silver,Pekanbaru,Gaming,24.0,43.0,119.0,492.0,4.4,43134.26
CUST0232,Laki-laki,Member,Silver,Malang,Otomotif,38.0,31.0,25.0,98.0,2.7,10041.82
CUST0233,Laki-laki,Member,Silver,Batam,Mainan Anak,34.0,8.0,18.0,69.0,2.6,7127.02
CUST0234,Laki-laki,Member,Platinum,Medan,Otomotif,53.0,44.0,21.0,85.0,2.8,14105.54
CUST0235,Perempuan,Non-Member,Platinum,Surabaya,Otomotif,20.0,24.0,49.0,201.0,,25525.2
CUST0236,Laki-laki,Member,Silver,Makassar,Travel,26.0,27.0,44.0,172.0,4.2,17149.99
CUST0237,Laki-laki,Member,Gold,Makassar,Gaming,33.0,16.0,80.0,328.0,4.5,35738.75
CUST0238,Perempuan,Member,Silver,Medan,Elektronik,32.0,52.0,50.0,207.0,3.1,19908.04
CUST0239,Perempuan,Member,Gold,Bekasi,Gaming,,,32.0,134.0,2.5,14446.62
CUST0240,Perempuan,Non-Member,Bronze,Bekasi,Elektronik,38.0,21.0,48.0,193.0,3.7,13407.49
CUST0241,Laki-laki,Member,Bronze,Malang,Makanan,37.0,79.0,53.0,207.0,,19632.58
CUST0242,Perempuan,Member,Silver,Bekasi,Kecantikan,52.0,59.0,8.0,33.0,2.7,6020.31
CUST0243,Perempuan,Non-Member,Silver,Makassar,Gaming,35.0,64.0,11.0,44.0,4.0,6791.38
